date,lot_id,supplier_id,qty_received,samples_inspected,defects_found,critical,major,minor,accept_reject,ppm_incoming,ctq_measure_mean,ctq_measure_std
2024-01-01,L09018907,S4428,2748,25,1,0,1,0,REJECT,363.9,4.9879,0.041
2024-01-01,L26303659,S1175,475,12,0,0,0,0,ACCEPT,0.0,5.0525,0.0335
2024-01-01,L68456262,S4428,4351,25,0,0,0,0,ACCEPT,0.0,5.0452,0.0595
2024-01-01,L20977112,S4428,786,10,0,0,0,0,ACCEPT,0.0,4.9816,0.027
2024-01-01,L03034246,S2713,1557,16,0,0,0,0,ACCEPT,0.0,4.9761,0.0296
2024-01-01,L11636452,S1175,296,8,0,0,0,0,ACCEPT,0.0,5.0232,0.0446
2024-01-01,L64684250,S4428,2465,20,0,0,0,0,ACCEPT,0.0,4.9733,0.043
2024-01-01,L99296439,S1175,5000,30,0,0,0,0,ACCEPT,0.0,4.9631,0.0357
2024-01-01,L81332608,S6577,717,8,0,0,0,0,ACCEPT,0.0,4.9265,0.0373
2024-01-01,L30879978,S2713,395,8,0,0,0,0,ACCEPT,0.0,5.0014,0.0433
2024-01-02,L97282127,S5002,261,8,0,0,0,0,ACCEPT,0.0,4.9731,0.0177
2024-01-02,L76106070,S1175,386,8,0,0,0,0,ACCEPT,0.0,5.0096,0.0337
2024-01-02,L31934278,S4428,965,8,0,0,0,0,ACCEPT,0.0,5.0893,0.0263
2024-01-02,L35219992,S2713,200,8,0,0,0,0,ACCEPT,0.0,5.0635,0.0311
2024-01-02,L88407266,S2713,2615,20,0,0,0,0,ACCEPT,0.0,4.8438,0.0294
2024-01-02,L38503213,S1175,200,8,0,0,0,0,ACCEPT,0.0,5.0005,0.0357
2024-01-02,L72363646,S1175,1111,16,0,0,0,0,ACCEPT,0.0,4.9834,0.0484
2024-01-02,L93666476,S4428,1218,16,0,0,0,0,ACCEPT,0.0,5.0049,0.0486
2024-01-02,L10091253,S5002,2055,20,0,0,0,0,ACCEPT,0.0,4.925,0.0443
2024-01-02,L39655786,S5002,1151,12,1,0,0,1,REJECT,868.81,4.9537,0.027
2024-01-02,L86926242,S5002,5000,40,0,0,0,0,ACCEPT,0.0,5.0369,0.0233
2024-01-02,L39396029,S2713,1490,12,0,0,0,0,ACCEPT,0.0,4.9793,0.0224
2024-01-02,L98026903,S3320,3442,20,0,0,0,0,ACCEPT,0.0,4.9226,0.0576
2024-01-02,L97285582,S4428,582,10,0,0,0,0,ACCEPT,0.0,5.0256,0.0373
2024-01-02,L77529957,S2713,1354,12,0,0,0,0,ACCEPT,0.0,5.0357,0.0364
2024-01-02,L18137502,S6577,5000,25,0,0,0,0,ACCEPT,0.0,5.0487,0.0479
2024-01-02,L14104354,S4428,946,12,0,0,0,0,ACCEPT,0.0,4.9967,0.0309
2024-01-02,L26796360,S5002,1454,20,0,0,0,0,ACCEPT,0.0,4.9415,0.0213
2024-01-02,L98417483,S7142,3200,30,1,0,0,1,REJECT,312.5,5.0422,0.0415
2024-01-02,L11657352,S3320,571,8,0,0,0,0,ACCEPT,0.0,4.9973,0.0415
2024-01-02,L54716858,S7142,200,8,0,0,0,0,ACCEPT,0.0,4.9549,0.0578
2024-01-02,L48483733,S6577,1549,16,0,0,0,0,ACCEPT,0.0,5.011,0.0526
2024-01-02,L29640047,S7142,3225,25,0,0,0,0,ACCEPT,0.0,4.9874,0.0226
2024-01-02,L31095648,S1175,311,8,0,0,0,0,ACCEPT,0.0,4.9708,0.0453
2024-01-02,L94902315,S2713,2346,20,0,0,0,0,ACCEPT,0.0,5.0871,0.0368
2024-01-02,L14835122,S4428,2361,16,0,0,0,0,ACCEPT,0.0,5.0562,0.0178
2024-01-02,L45766566,S4428,200,8,0,0,0,0,ACCEPT,0.0,4.9609,0.0276
2024-01-02,L60279311,S4428,470,10,0,0,0,0,ACCEPT,0.0,4.9805,0.034
2024-01-02,L60790534,S7142,808,16,0,0,0,0,ACCEPT,0.0,4.9931,0.0218
2024-01-02,L13395817,S1175,1003,12,0,0,0,0,ACCEPT,0.0,4.9868,0.0297
2024-01-02,L00446425,S7142,571,12,0,0,0,0,ACCEPT,0.0,4.9249,0.0201
2024-01-02,L31655329,S5002,541,12,0,0,0,0,ACCEPT,0.0,5.0681,0.0286
2024-01-02,L02977214,S2713,5000,25,0,0,0,0,ACCEPT,0.0,5.0766,0.0261
2024-01-02,L41525633,S2713,1078,12,0,0,0,0,ACCEPT,0.0,5.0427,0.0206
2024-01-02,L74403446,S2713,599,8,0,0,0,0,ACCEPT,0.0,5.0178,0.035
2024-01-02,L24919463,S4428,1152,12,0,0,0,0,ACCEPT,0.0,5.0674,0.051
2024-01-02,L41440872,S4428,2053,20,0,0,0,0,ACCEPT,0.0,5.0456,0.0439
2024-01-02,L70651739,S1175,1264,10,0,0,0,0,ACCEPT,0.0,4.9903,0.0393
2024-01-02,L61121170,S2713,977,16,0,0,0,0,ACCEPT,0.0,5.0326,0.0365
2024-01-02,L96455686,S5002,626,12,0,0,0,0,ACCEPT,0.0,4.9951,0.042
2024-01-02,L93934467,S4428,619,8,1,0,0,1,REJECT,1615.51,5.0189,0.0256
2024-01-02,L53040326,S5002,660,12,0,0,0,0,ACCEPT,0.0,4.9278,0.0307
2024-01-02,L90535970,S1175,1684,20,0,0,0,0,ACCEPT,0.0,4.9778,0.0357
2024-01-02,L95165948,S7142,444,12,0,0,0,0,ACCEPT,0.0,5.0162,0.0428
2024-01-02,L89060795,S1175,1778,16,0,0,0,0,ACCEPT,0.0,4.9608,0.0565
2024-01-02,L63937606,S2713,4930,25,0,0,0,0,ACCEPT,0.0,5.0184,0.0414
2024-01-02,L33532896,S6577,1662,12,0,0,0,0,ACCEPT,0.0,5.0093,0.0379
2024-01-02,L10693661,S1175,829,14,0,0,0,0,ACCEPT,0.0,5.0069,0.0452
2024-01-02,L70563179,S4428,328,8,0,0,0,0,ACCEPT,0.0,5.0128,0.0493
2024-01-02,L99065039,S1175,5000,30,0,0,0,0,ACCEPT,0.0,5.0374,0.0238
2024-01-02,L37191275,S5002,372,8,0,0,0,0,ACCEPT,0.0,4.9084,0.0303
2024-01-02,L57568651,S2713,2804,16,0,0,0,0,ACCEPT,0.0,4.9689,0.036
2024-01-02,L16697037,S1175,2272,20,0,0,0,0,ACCEPT,0.0,4.9993,0.057
2024-01-02,L96772297,S2713,947,10,0,0,0,0,ACCEPT,0.0,5.0244,0.0235
2024-01-02,L91654775,S1175,923,12,0,0,0,0,ACCEPT,0.0,5.0074,0.0239
2024-01-02,L41168043,S5002,200,8,8,0,0,8,REJECT,40000.0,4.9035,0.0424
2024-01-02,L97510145,S2713,1669,18,0,0,0,0,ACCEPT,0.0,4.979,0.0223
2024-01-02,L80988943,S6577,2231,16,1,0,0,1,REJECT,448.23,5.0479,0.0103
2024-01-02,L33023073,S1175,404,8,0,0,0,0,ACCEPT,0.0,5.0006,0.0381
2024-01-02,L10948746,S6577,1027,12,0,0,0,0,ACCEPT,0.0,4.9504,0.0403
2024-01-02,L90219647,S5002,1246,16,0,0,0,0,ACCEPT,0.0,5.0241,0.0373
2024-01-02,L21266084,S2713,2153,20,0,0,0,0,ACCEPT,0.0,4.9874,0.0411
2024-01-02,L56572035,S6577,1205,12,0,0,0,0,ACCEPT,0.0,4.987,0.019
2024-01-02,L16539575,S2713,236,8,0,0,0,0,ACCEPT,0.0,4.9668,0.0276
2024-01-02,L08033730,S2713,706,10,0,0,0,0,ACCEPT,0.0,5.02,0.0521
2024-01-02,L26157133,S4428,1502,10,0,0,0,0,ACCEPT,0.0,5.0,0.0204
2024-01-02,L68694117,S3320,2784,18,0,0,0,0,ACCEPT,0.0,4.9891,0.039
2024-01-02,L90278333,S6577,647,8,0,0,0,0,ACCEPT,0.0,5.0195,0.0263
2024-01-02,L84062806,S3320,5000,20,0,0,0,0,ACCEPT,0.0,4.9422,0.0038
2024-01-02,L27444931,S1175,200,8,0,0,0,0,ACCEPT,0.0,4.9979,0.0268
2024-01-02,L63720449,S7142,683,16,0,0,0,0,ACCEPT,0.0,5.0431,0.0509
2024-01-02,L12132471,S4428,1104,12,0,0,0,0,ACCEPT,0.0,4.9061,0.0338
2024-01-02,L44796467,S6577,982,12,0,0,0,0,ACCEPT,0.0,5.0644,0.0349
2024-01-02,L06457108,S7142,350,12,0,0,0,0,ACCEPT,0.0,4.9876,0.0473
2024-01-02,L64126390,S2713,1878,16,0,0,0,0,ACCEPT,0.0,5.002,0.0337
2024-01-02,L14340133,S1175,1739,16,0,0,0,0,ACCEPT,0.0,4.9515,0.0277
2024-01-02,L29015917,S1175,1259,12,0,0,0,0,ACCEPT,0.0,4.9338,0.0571
2024-01-02,L72669210,S2713,1672,16,0,0,0,0,ACCEPT,0.0,4.9906,0.0613
2024-01-02,L17989967,S7142,785,16,0,0,0,0,ACCEPT,0.0,5.0681,0.0528
2024-01-02,L52217713,S3320,238,8,0,0,0,0,ACCEPT,0.0,4.9485,0.0367
2024-01-02,L29724354,S2713,586,12,0,0,0,0,ACCEPT,0.0,5.0687,0.0378
2024-01-02,L91803744,S3320,1404,12,0,0,0,0,ACCEPT,0.0,5.0244,0.0533
2024-01-02,L45130451,S2713,1412,16,0,0,0,0,ACCEPT,0.0,5.014,0.0349
2024-01-02,L85571588,S5002,1251,16,0,0,0,0,ACCEPT,0.0,4.9716,0.0239
2024-01-02,L53192952,S1175,2077,16,0,0,0,0,ACCEPT,0.0,4.9691,0.0195
2024-01-02,L01926606,S2713,671,10,10,0,0,10,REJECT,14903.13,5.052,0.0309
2024-01-02,L55169390,S7142,1232,20,0,0,0,0,ACCEPT,0.0,5.0269,0.0372
2024-01-02,L80972256,S1175,2126,16,0,0,0,0,ACCEPT,0.0,4.9632,0.0287
2024-01-02,L08563284,S6577,1102,12,0,0,0,0,ACCEPT,0.0,5.0316,0.0485
2024-01-02,L46144318,S3320,346,8,0,0,0,0,ACCEPT,0.0,4.9573,0.0532
2024-01-02,L39337512,S4428,459,8,0,0,0,0,ACCEPT,0.0,4.997,0.032
2024-01-02,L14109849,S4428,2754,20,0,0,0,0,ACCEPT,0.0,4.9444,0.05
2024-01-02,L98971194,S4428,4830,30,0,0,0,0,ACCEPT,0.0,4.9868,0.0304
2024-01-02,L84034250,S5002,3887,30,0,0,0,0,ACCEPT,0.0,5.0523,0.0263
2024-01-02,L25862011,S6577,1514,16,0,0,0,0,ACCEPT,0.0,5.0142,0.0348
2024-01-02,L23400532,S6577,360,8,0,0,0,0,ACCEPT,0.0,5.0547,0.0288
2024-01-02,L34586610,S1175,1192,8,0,0,0,0,ACCEPT,0.0,5.0288,0.052
2024-01-02,L39531640,S2713,5000,30,0,0,0,0,ACCEPT,0.0,5.0482,0.0602
2024-01-02,L07851819,S4428,2227,20,0,0,0,0,ACCEPT,0.0,5.0149,0.0572
2024-01-02,L33685554,S2713,975,12,0,0,0,0,ACCEPT,0.0,5.0317,0.0379
2024-01-02,L54031438,S2713,2250,18,0,0,0,0,ACCEPT,0.0,5.0252,0.0494
2024-01-02,L86526952,S5002,337,10,0,0,0,0,ACCEPT,0.0,4.997,0.0282
2024-01-02,L04577382,S7142,598,16,1,0,0,1,REJECT,1672.24,5.0527,0.0494
2024-01-02,L57144425,S4428,406,10,0,0,0,0,ACCEPT,0.0,5.0182,0.0237
2024-01-02,L64877559,S2713,1919,14,0,0,0,0,ACCEPT,0.0,5.0168,0.0474
2024-01-02,L43945568,S5002,2451,25,0,0,0,0,ACCEPT,0.0,5.0235,0.052
2024-01-02,L68249229,S7142,1029,18,1,0,0,1,REJECT,971.82,5.0225,0.0228
2024-01-02,L97764459,S7142,501,12,0,0,0,0,ACCEPT,0.0,5.0068,0.0452
2024-01-02,L72558337,S5002,1177,14,0,0,0,0,ACCEPT,0.0,5.0501,0.0263
2024-01-02,L10909672,S1175,738,10,0,0,0,0,ACCEPT,0.0,5.0149,0.0456
2024-01-02,L82521720,S7142,541,12,0,0,0,0,ACCEPT,0.0,4.9847,0.0253
2024-01-02,L92213461,S2713,1684,18,1,0,1,0,REJECT,593.82,5.013,0.0369
2024-01-02,L99168467,S6577,562,12,0,0,0,0,ACCEPT,0.0,4.9946,0.0401
2024-01-02,L22076278,S7142,251,8,0,0,0,0,ACCEPT,0.0,4.97,0.0339
2024-01-02,L09489087,S4428,313,8,0,0,0,0,ACCEPT,0.0,4.9683,0.0156
2024-01-02,L17820269,S2713,241,8,0,0,0,0,ACCEPT,0.0,4.9543,0.0269
2024-01-02,L34658152,S1175,1537,14,0,0,0,0,ACCEPT,0.0,4.9739,0.0314
2024-01-02,L83767032,S2713,1395,16,0,0,0,0,ACCEPT,0.0,4.9137,0.0342
2024-01-02,L61664434,S5002,1327,20,0,0,0,0,ACCEPT,0.0,5.0127,0.022
2024-01-02,L09490342,S6577,2160,18,0,0,0,0,ACCEPT,0.0,4.9619,0.0357
2024-01-02,L35523264,S1175,3952,20,0,0,0,0,ACCEPT,0.0,4.9823,0.0218
2024-01-02,L16987669,S1175,664,8,0,0,0,0,ACCEPT,0.0,5.0508,0.0442
2024-01-02,L32944937,S4428,1802,16,0,0,0,0,ACCEPT,0.0,5.0363,0.0218
2024-01-02,L97887657,S5002,247,8,0,0,0,0,ACCEPT,0.0,4.8504,0.0184
2024-01-02,L55391892,S2713,4764,25,0,0,0,0,ACCEPT,0.0,5.0466,0.0297
2024-01-02,L51846748,S1175,346,8,0,0,0,0,ACCEPT,0.0,5.0118,0.0209
2024-01-03,L40145563,S4428,1324,12,0,0,0,0,ACCEPT,0.0,4.9316,0.002
2024-01-03,L02020475,S4428,4385,25,0,0,0,0,ACCEPT,0.0,5.0248,0.0311
2024-01-03,L08942116,S7142,585,14,0,0,0,0,ACCEPT,0.0,5.0086,0.0414
2024-01-03,L79384930,S5002,2528,25,0,0,0,0,ACCEPT,0.0,5.0015,0.0414
2024-01-03,L98181931,S4428,988,10,0,0,0,0,ACCEPT,0.0,4.9846,0.038
2024-01-03,L98794743,S6577,1125,12,1,0,0,1,REJECT,888.89,4.9907,0.0446
2024-01-03,L24118706,S7142,1315,14,0,0,0,0,ACCEPT,0.0,5.0191,0.0504
2024-01-03,L69820546,S1175,1544,12,0,0,0,0,ACCEPT,0.0,4.9681,0.0568
2024-01-03,L82045771,S4428,1068,12,0,0,0,0,ACCEPT,0.0,4.9459,0.0313
2024-01-03,L92955782,S1175,1487,16,0,0,0,0,ACCEPT,0.0,4.985,0.0178
2024-01-03,L89542557,S5002,5000,35,0,0,0,0,ACCEPT,0.0,5.0101,0.0443
2024-01-03,L16503635,S5002,3215,25,0,0,0,0,ACCEPT,0.0,5.0766,0.0272
2024-01-03,L64215228,S1175,2862,25,0,0,0,0,ACCEPT,0.0,5.0105,0.033
2024-01-03,L14044532,S2713,761,12,0,0,0,0,ACCEPT,0.0,5.0063,0.0338
2024-01-03,L30435803,S5002,493,12,0,0,0,0,ACCEPT,0.0,4.9122,0.0377
2024-01-03,L60085622,S3320,3119,12,0,0,0,0,ACCEPT,0.0,5.0342,0.0349
2024-01-03,L93921777,S3320,2882,16,0,0,0,0,ACCEPT,0.0,5.0469,0.043
2024-01-03,L96732324,S4428,5000,25,0,0,0,0,ACCEPT,0.0,5.0261,0.0558
2024-01-03,L63384877,S1175,656,12,0,0,0,0,ACCEPT,0.0,4.9418,0.0429
2024-01-03,L32308705,S6577,954,12,0,0,0,0,ACCEPT,0.0,4.9159,0.0324
2024-01-03,L57212525,S2713,233,8,0,0,0,0,ACCEPT,0.0,4.9913,0.0269
2024-01-03,L93747747,S6577,810,12,0,0,0,0,ACCEPT,0.0,5.0745,0.0419
2024-01-03,L31518995,S1175,3251,20,0,0,0,0,ACCEPT,0.0,4.9141,0.0518
2024-01-03,L80800160,S4428,753,12,0,0,0,0,ACCEPT,0.0,4.9815,0.0349
2024-01-03,L12406996,S2713,2277,18,0,0,0,0,ACCEPT,0.0,5.0019,0.0413
2024-01-03,L05407525,S2713,992,14,0,0,0,0,ACCEPT,0.0,4.954,0.0462
2024-01-03,L64919526,S1175,1659,12,0,0,0,0,ACCEPT,0.0,5.0195,0.0416
2024-01-03,L23709426,S7142,381,8,0,0,0,0,ACCEPT,0.0,4.968,0.0347
2024-01-03,L28096043,S5002,1307,16,0,0,0,0,ACCEPT,0.0,4.8692,0.0315
2024-01-03,L46708639,S5002,200,8,0,0,0,0,ACCEPT,0.0,4.9266,0.0519
2024-01-03,L98929652,S2713,995,12,0,0,0,0,ACCEPT,0.0,4.9793,0.0277
2024-01-03,L96256180,S5002,235,8,0,0,0,0,ACCEPT,0.0,4.9212,0.0348
2024-01-03,L21889255,S5002,4008,30,0,0,0,0,ACCEPT,0.0,4.9407,0.0453
2024-01-03,L86537760,S1175,2611,16,0,0,0,0,ACCEPT,0.0,4.9661,0.0357
2024-01-03,L73020665,S2713,1914,18,0,0,0,0,ACCEPT,0.0,4.9503,0.032
2024-01-03,L93674253,S2713,5000,25,0,0,0,0,ACCEPT,0.0,5.0599,0.0467
2024-01-03,L15372202,S7142,465,14,0,0,0,0,ACCEPT,0.0,5.1027,0.0286
2024-01-03,L37133094,S2713,5000,25,0,0,0,0,ACCEPT,0.0,4.9154,0.0315
2024-01-03,L71045510,S1175,3048,20,0,0,0,0,ACCEPT,0.0,5.01,0.0513
2024-01-03,L55780477,S4428,947,10,0,0,0,0,ACCEPT,0.0,4.9695,0.0362
2024-01-03,L59256122,S6577,3736,25,0,0,0,0,ACCEPT,0.0,5.075,0.0543
2024-01-03,L11227397,S1175,397,8,0,0,0,0,ACCEPT,0.0,5.0802,0.0272
2024-01-03,L46410383,S4428,526,10,0,0,0,0,ACCEPT,0.0,5.0617,0.0443
2024-01-03,L84486536,S3320,653,8,0,0,0,0,ACCEPT,0.0,4.9555,0.0258
2024-01-03,L64133769,S1175,707,12,0,0,0,0,ACCEPT,0.0,4.9812,0.0117
