date,line_id,build_id,units_built,first_pass_yield,rework_units,scrap_units,oqa_defects,oqa_pass_rate,field_return_rate_est,shift
2024-01-21,CORK-L1,B434266,1187,0.9655,25,16,15,0.9635,0.00233,B
2024-01-22,CORK-L1,B434266,716,0.9648,16,9,8,0.958,0.00182,B
2024-01-08,CORK-L2,B030833,1783,0.9705,40,13,17,0.9756,0.00165,B
2024-01-09,CORK-L2,B030833,4384,0.9742,75,38,19,0.9665,0.00222,A
2024-01-10,CORK-L2,B030833,1102,0.9712,20,12,8,0.9705,0.00173,B
2024-01-11,CORK-L2,B030833,2996,0.9773,51,17,26,0.9714,0.00097,A
2024-01-12,CORK-L2,B030833,5881,0.9743,90,61,36,0.9658,0.00072,B
2024-01-13,CORK-L2,B030833,2808,0.9787,45,15,11,0.9854,0.00162,A
2024-01-14,CORK-L2,B030833,350,0.9776,5,3,2,0.9763,0.00043,A
2024-01-15,CORK-L2,B030833,1207,0.972,25,9,9,0.9749,0.00184,B
2024-01-16,CORK-L2,B030833,1457,0.973,27,12,5,0.9742,0.00202,B
2024-01-17,CORK-L2,B030833,4117,0.9758,70,30,39,0.9731,0.00086,A
2024-01-18,CORK-L2,B030833,3001,0.9711,60,27,15,0.9641,0.00167,B
2024-01-19,CORK-L2,B030833,2633,0.9774,40,19,20,0.9746,0.0006,A
2024-01-12,CORK-L2,B570558,3015,0.9736,62,18,30,0.9712,0.00043,B
2024-01-12,CORK-L3,B570558,3982,0.9689,98,26,43,0.9597,0.00153,B
2024-01-13,CORK-L2,B570558,406,0.9777,6,3,3,0.9772,0.00151,A
2024-01-13,CORK-L3,B570558,319,0.97,8,2,2,0.9687,0.0027,B
2024-01-14,CORK-L2,B570558,131,0.973,3,1,2,0.9681,0.00121,B
2024-01-14,CORK-L3,B570558,200,0.9707,4,2,1,0.9725,0.00094,B
2024-01-15,CORK-L2,B570558,2745,0.9694,57,27,21,0.9692,0.00118,B
2024-01-15,CORK-L3,B570558,2316,0.9714,46,20,13,0.9822,0.00126,B
2024-01-16,CORK-L2,B570558,2502,0.9724,47,22,28,0.9774,0.00031,A
2024-01-16,CORK-L3,B570558,2950,0.9761,52,19,16,0.9867,0.00114,A
2024-01-17,CORK-L2,B570558,1259,0.9744,25,7,6,0.9719,0.00108,A
2024-01-17,CORK-L3,B570558,924,0.973,19,6,10,0.9794,0.00072,B
2024-01-18,CORK-L2,B570558,1321,0.9745,22,12,7,0.9726,0.0012,A
2024-01-18,CORK-L3,B570558,818,0.9728,16,6,8,0.9654,0.00177,B
2024-01-19,CORK-L2,B570558,2658,0.9709,54,23,13,0.9777,0.00068,B
2024-01-19,CORK-L3,B570558,3496,0.9776,58,20,20,0.9774,0.00174,A
2024-01-20,CORK-L2,B570558,861,0.9747,14,8,7,0.9792,0.00054,A
2024-01-20,CORK-L3,B570558,737,0.9737,12,7,6,0.9705,0.00159,B
2024-01-21,CORK-L2,B570558,922,0.9685,17,12,10,0.9665,0.00245,B
2024-01-21,CORK-L3,B570558,991,0.9782,13,9,4,0.9794,0.00048,A
2024-01-22,CORK-L2,B570558,798,0.9677,18,8,4,0.9635,0.00114,B
2024-01-22,CORK-L3,B570558,568,0.9747,8,6,6,0.9635,0.0018,B
2024-01-23,CORK-L2,B570558,2696,0.9719,45,31,31,0.9897,0.00158,A
2024-01-23,CORK-L3,B570558,2334,0.9734,48,14,11,0.9734,0.00154,B
2024-01-24,CORK-L2,B570558,3302,0.9678,74,32,24,0.9759,0.0011,B
2024-01-24,CORK-L3,B570558,4293,0.9762,77,25,25,0.9816,0.00099,B
2024-01-25,CORK-L2,B570558,311,0.9713,6,3,2,0.9615,0.00149,A
2024-01-25,CORK-L3,B570558,427,0.9734,8,3,3,0.9802,0.00208,B
2024-01-26,CORK-L2,B570558,2440,0.9666,57,24,17,0.967,4e-05,B
2024-01-26,CORK-L3,B570558,3460,0.9734,66,26,26,0.9735,0.00147,B
2024-01-09,CORK-L1,B406665,2617,0.9664,60,28,36,0.9766,0.00045,B
2024-01-09,CORK-L2,B406665,2202,0.9696,53,14,23,0.9733,0.00104,A
2024-01-10,CORK-L1,B406665,3825,0.9658,82,49,48,0.9704,0.00081,B
2024-01-10,CORK-L2,B406665,2533,0.9653,53,35,20,0.9599,0.00137,B
2024-01-11,CORK-L1,B406665,1200,0.9655,29,12,16,0.9599,0.00261,B
2024-01-11,CORK-L2,B406665,1186,0.9711,23,11,12,0.9713,0.00062,A
2024-01-12,CORK-L1,B406665,1657,0.9683,40,13,16,0.9681,0.00278,A
2024-01-12,CORK-L2,B406665,1960,0.9719,32,23,20,0.9631,0.00075,A
2024-01-13,CORK-L1,B406665,246,0.9652,6,3,4,0.964,0.00037,B
2024-01-13,CORK-L2,B406665,233,0.9714,5,2,2,0.9748,0.0,A
2024-01-15,CORK-L3,B457463,2659,0.9765,46,16,10,0.9713,0.00126,A
2024-01-16,CORK-L3,B457463,3142,0.9762,50,25,24,0.9789,0.00194,A
2024-01-16,CORK-L1,B964392,2756,0.9724,47,29,23,0.9671,0.00117,A
2024-01-17,CORK-L1,B964392,4343,0.9696,87,45,31,0.9766,0.00177,B
2024-01-15,CORK-L2,B693865,4747,0.9725,89,41,36,0.9815,0.00036,A
2024-01-16,CORK-L2,B693865,753,0.9677,18,6,4,0.9614,0.00176,B
2024-01-17,CORK-L2,B693865,2433,0.969,48,27,18,0.9686,0.00105,B
2024-01-18,CORK-L2,B693865,921,0.968,20,9,5,0.9672,0.0,B
2024-01-19,CORK-L2,B693865,389,0.9732,7,3,2,0.9696,0.00085,A
2024-01-20,CORK-L2,B693865,2091,0.9668,49,21,26,0.9601,0.00119,B
2024-01-21,CORK-L2,B693865,407,0.9676,10,3,3,0.961,0.00095,B
2024-01-22,CORK-L2,B693865,2662,0.967,53,35,34,0.9567,0.00071,B
2024-01-23,CORK-L2,B693865,4458,0.9722,93,31,27,0.97,0.00239,A
2024-01-24,CORK-L2,B693865,3497,0.9725,68,28,38,0.9713,0.00191,A
2024-01-25,CORK-L2,B693865,6422,0.9748,127,35,27,0.9734,0.00026,A
2024-01-26,CORK-L2,B693865,5050,0.9752,78,47,28,0.9715,0.00099,A
2024-01-27,CORK-L2,B693865,2395,0.9694,48,25,19,0.9717,0.00152,B
2024-01-24,CORK-L3,B541158,1726,0.9714,33,16,13,0.9646,0.00147,B
2024-01-24,CORK-L2,B541158,1771,0.9731,31,17,14,0.9704,0.00207,A
2024-01-25,CORK-L3,B541158,593,0.9742,11,4,4,0.9826,0.00161,A
2024-01-25,CORK-L2,B541158,661,0.9672,14,8,8,0.9772,0.0,B
2024-01-26,CORK-L3,B541158,940,0.973,16,9,5,0.9738,0.00224,A
2024-01-26,CORK-L2,B541158,902,0.9709,15,11,9,0.9733,0.0005,A
2024-01-27,CORK-L3,B541158,1802,0.9744,35,11,9,0.9747,0.001,A
2024-01-27,CORK-L2,B541158,1268,0.9675,32,9,14,0.9591,0.00289,B
2024-01-28,CORK-L3,B541158,305,0.968,7,3,4,0.9623,0.00125,B
2024-01-28,CORK-L2,B541158,477,0.9713,8,6,5,0.9707,0.00068,A
2024-01-29,CORK-L3,B541158,2006,0.9726,43,12,16,0.9623,0.00051,A
2024-01-29,CORK-L2,B541158,1521,0.9667,41,10,8,0.9631,0.00145,B
2024-01-30,CORK-L3,B541158,3433,0.9681,87,22,35,0.9784,0.00176,B
2024-01-30,CORK-L2,B541158,3560,0.9728,72,25,29,0.9707,0.00021,A
2024-01-31,CORK-L3,B541158,2076,0.9696,48,15,19,0.9728,0.00134,B
2024-01-31,CORK-L2,B541158,1529,0.9682,36,13,8,0.9564,0.00024,B
2024-02-01,CORK-L3,B541158,2993,0.9706,70,18,35,0.973,0.00169,B
2024-02-01,CORK-L2,B541158,2602,0.9726,53,18,20,0.973,0.0024,A
2024-02-02,CORK-L3,B541158,1117,0.9686,23,12,12,0.9693,0.00114,B
2024-02-02,CORK-L2,B541158,1109,0.9702,22,11,13,0.9693,0.00043,B
2024-01-25,CORK-L1,B114991,3294,0.9684,76,28,32,0.9728,0.00175,B
2024-01-25,CORK-L3,B114991,4185,0.9704,76,48,39,0.9696,0.0014,A
2024-01-26,CORK-L1,B114991,1451,0.9688,33,12,13,0.968,0.00242,B
2024-01-26,CORK-L3,B114991,1066,0.9709,21,10,12,0.9812,0.0018,A
2024-01-27,CORK-L1,B114991,1687,0.9737,32,12,6,0.977,0.00167,A
2024-01-27,CORK-L3,B114991,1793,0.9641,45,19,22,0.9684,0.00095,B
2024-01-28,CORK-L1,B114991,936,0.9676,23,7,8,0.9522,0.00018,B
2024-01-28,CORK-L3,B114991,1042,0.9688,24,8,11,0.9571,0.00142,A
2024-01-29,CORK-L1,B114991,562,0.9723,9,7,3,0.9744,0.00046,A
2024-01-29,CORK-L3,B114991,708,0.9696,17,5,7,0.9716,0.00063,A
2024-01-30,CORK-L1,B114991,2687,0.969,61,22,24,0.9731,0.00027,B
2024-01-30,CORK-L3,B114991,2532,0.9704,45,30,18,0.9761,0.00238,A
2024-01-31,CORK-L1,B114991,854,0.9686,21,6,11,0.9677,0.00085,B
2024-01-31,CORK-L3,B114991,908,0.9723,17,8,6,0.968,0.00247,A
2024-02-01,CORK-L1,B114991,2298,0.9733,47,14,17,0.972,0.00163,A
2024-02-01,CORK-L3,B114991,1322,0.972,22,15,8,0.9752,0.00159,A
2024-02-02,CORK-L1,B114991,1407,0.974,29,8,13,0.9697,0.00118,A
2024-02-02,CORK-L3,B114991,1885,0.9721,38,15,13,0.9573,0.0011,A
2024-02-03,CORK-L1,B114991,321,0.9752,6,2,2,0.9773,0.00135,A
2024-02-03,CORK-L3,B114991,205,0.9687,5,1,2,0.9652,0.00229,B
2024-02-04,CORK-L1,B114991,771,0.975,15,4,5,0.9676,0.00181,A
2024-02-04,CORK-L3,B114991,588,0.9688,14,4,5,0.9628,0.00196,B
2024-02-05,CORK-L1,B114991,1150,0.9745,23,6,10,0.9803,0.0008,A
2024-02-05,CORK-L3,B114991,1429,0.971,24,17,15,0.9789,0.00147,B
2024-02-06,CORK-L1,B114991,3518,0.9695,82,25,29,0.9601,0.00218,B
2024-02-06,CORK-L3,B114991,2958,0.9753,57,16,22,0.9687,0.00337,A
2024-02-07,CORK-L1,B114991,2461,0.9745,39,24,19,0.9711,0.00219,A
2024-02-07,CORK-L3,B114991,3049,0.9765,55,17,28,0.97,0.00121,A
2024-01-29,CORK-L3,B242711,3724,0.9727,72,30,22,0.975,0.00221,B
2024-01-29,CORK-L1,B242711,2401,0.9672,60,19,19,0.9662,0.00082,B
2024-01-30,CORK-L3,B242711,890,0.9774,13,7,6,0.9754,0.00143,A
2024-01-30,CORK-L1,B242711,1147,0.9665,25,13,13,0.9649,0.00144,B
2024-01-31,CORK-L3,B242711,1040,0.9714,18,12,10,0.9771,0.00112,B
2024-01-31,CORK-L1,B242711,992,0.9713,21,8,4,0.9836,0.00253,A
2024-02-01,CORK-L3,B242711,3898,0.9729,78,28,41,0.973,0.00128,B
2024-02-01,CORK-L1,B242711,3288,0.9704,75,22,29,0.9649,0.0023,A
2024-02-02,CORK-L3,B242711,1409,0.9784,22,8,13,0.9711,0.00149,A
2024-02-02,CORK-L1,B242711,1130,0.9653,29,10,10,0.9724,0.00168,B
2024-02-03,CORK-L3,B242711,696,0.9785,11,4,6,0.9802,0.00103,A
2024-02-03,CORK-L1,B242711,500,0.9656,10,7,5,0.9667,0.00152,B
2024-02-04,CORK-L3,B242711,1056,0.979,17,5,4,0.9718,0.00151,A
2024-02-04,CORK-L1,B242711,808,0.9719,14,9,6,0.9663,0.00186,A
2024-02-05,CORK-L3,B242711,1972,0.978,28,15,18,0.9765,0.00208,A
2024-02-05,CORK-L1,B242711,2440,0.9735,38,27,21,0.9793,0.00181,A
2024-02-06,CORK-L3,B242711,2268,0.9764,39,15,9,0.9756,0.00168,A
2024-02-06,CORK-L1,B242711,1501,0.9727,27,14,17,0.9694,0.00039,A
2024-02-07,CORK-L3,B242711,3146,0.9702,71,23,26,0.9875,0.00206,B
2024-02-07,CORK-L1,B242711,3495,0.9718,72,26,36,0.9745,0.00291,A
2024-02-08,CORK-L3,B242711,2132,0.9744,38,17,8,0.9802,0.00207,A
2024-02-08,CORK-L1,B242711,2266,0.9663,53,23,28,0.9718,0.00323,B
2024-02-02,CORK-L2,B888230,3666,0.9696,76,36,43,0.9653,0.0001,B
2024-02-03,CORK-L2,B888230,350,0.9683,8,3,2,0.971,0.00076,B
2024-02-04,CORK-L2,B888230,1830,0.9747,31,15,14,0.9729,0.00226,A
2024-02-05,CORK-L2,B888230,3191,0.9745,63,18,21,0.9801,0.00237,A
2024-02-06,CORK-L2,B888230,4406,0.9705,76,54,53,0.9727,0.00125,B
2024-02-07,CORK-L2,B888230,2942,0.972,54,28,27,0.9748,0.00155,B
2024-02-08,CORK-L2,B888230,1645,0.9717,35,12,16,0.9716,0.0025,B
2024-02-09,CORK-L2,B888230,2085,0.9765,33,16,10,0.971,0.00017,A
2024-02-10,CORK-L2,B888230,960,0.9696,17,12,9,0.9789,0.00116,B
2024-02-11,CORK-L2,B888230,712,0.9731,12,7,5,0.987,0.00142,A
2024-02-12,CORK-L2,B888230,1278,0.9683,30,10,7,0.9672,0.00179,B
2024-02-13,CORK-L2,B888230,1267,0.9728,26,8,7,0.9718,0.0005,A
2024-02-14,CORK-L2,B888230,6790,0.9723,134,54,60,0.9708,0.00155,A
2024-02-15,CORK-L2,B888230,2554,0.9705,45,30,18,0.9733,0.00211,B
2024-01-29,CORK-L1,B094093,1419,0.9698,32,11,12,0.9665,0.00172,A
2024-01-30,CORK-L1,B094093,723,0.9734,13,6,3,0.9746,0.00169,A
2024-01-31,CORK-L1,B094093,6732,0.9736,123,55,33,0.9822,0.00309,A
2024-02-01,CORK-L1,B094093,6681,0.9686,161,49,41,0.9643,0.00258,B
2024-02-02,CORK-L1,B094093,2112,0.9703,50,13,15,0.9828,0.00194,B
2024-02-03,CORK-L1,B094093,2555,0.9751,45,19,22,0.9706,0.00072,A
2024-02-04,CORK-L1,B094093,1381,0.9721,25,13,12,0.9653,0.00124,B
2024-02-05,CORK-L1,B094093,4981,0.9765,78,39,49,0.9859,0.00067,A
2024-02-06,CORK-L1,B094093,1788,0.9749,32,13,16,0.9735,0.00059,A
2024-02-07,CORK-L1,B094093,7069,0.9754,132,42,56,0.9726,0.00139,A
2024-02-08,CORK-L1,B094093,4138,0.9756,73,28,32,0.9763,0.00128,A
2024-01-31,CORK-L3,B139319,1255,0.9696,24,14,9,0.9664,0.00145,B
2024-02-01,CORK-L3,B139319,1868,0.9683,36,23,18,0.9685,0.00154,B
2024-02-02,CORK-L3,B139319,6114,0.9718,122,51,48,0.9796,0.00152,A
2024-02-03,CORK-L3,B139319,1785,0.9739,31,16,7,0.9784,0.00236,A
2024-02-04,CORK-L3,B139319,350,0.9691,8,3,2,0.9806,0.00124,B
2024-02-05,CORK-L3,B139319,4713,0.9721,80,52,37,0.9705,0.00054,A
2024-02-06,CORK-L3,B139319,7303,0.9682,178,54,47,0.9702,0.00178,B
2024-02-05,CORK-L1,B162847,1097,0.9668,21,15,7,0.9607,0.00272,B
2024-02-05,CORK-L3,B162847,1364,0.9728,22,15,13,0.9713,0.00113,A
2024-02-06,CORK-L1,B162847,954,0.971,18,10,5,0.979,9e-05,A
2024-02-06,CORK-L3,B162847,862,0.9755,16,5,3,0.9798,0.0004,A
2024-02-07,CORK-L1,B162847,2750,0.9722,47,29,27,0.972,0.00073,A
2024-02-07,CORK-L3,B162847,3001,0.974,47,31,29,0.9639,0.00083,A
2024-02-08,CORK-L1,B162847,3869,0.9672,92,35,22,0.9663,0.0013,B
2024-02-08,CORK-L3,B162847,3583,0.9713,76,27,14,0.9714,0.001,A
2024-02-07,CORK-L1,B428864,5167,0.965,110,71,29,0.9711,0.00114,B
2024-02-08,CORK-L1,B428864,5259,0.9661,137,41,30,0.973,0.00243,B
2024-02-09,CORK-L1,B428864,4436,0.971,75,54,30,0.9742,0.00058,A
2024-02-10,CORK-L1,B428864,1404,0.9678,26,19,16,0.9654,0.00335,B
2024-02-11,CORK-L1,B428864,1665,0.9721,35,11,15,0.9731,0.00265,A
2024-02-12,CORK-L1,B428864,6735,0.9698,126,77,83,0.9746,0.00106,B
2024-02-13,CORK-L1,B428864,2775,0.9694,58,27,25,0.9812,0.001,A
2024-02-14,CORK-L1,B428864,5852,0.9642,129,80,57,0.9636,0.00131,B
2024-02-15,CORK-L1,B428864,5439,0.9687,103,67,71,0.9707,0.00056,A
2024-02-16,CORK-L1,B428864,4865,0.9667,122,40,51,0.9679,0.00178,B
2024-02-17,CORK-L1,B428864,2372,0.973,43,21,17,0.976,0.00132,A
2024-02-18,CORK-L1,B428864,1656,0.9714,32,15,17,0.9653,0.00136,A
2024-02-19,CORK-L1,B428864,4997,0.9667,131,35,59,0.9608,0.00236,B
2024-02-20,CORK-L1,B428864,6507,0.9676,124,87,55,0.9611,0.00251,B
2024-02-21,CORK-L1,B428864,739,0.9656,15,10,6,0.9647,0.00223,B
2024-02-14,CORK-L3,B878285,3170,0.9651,73,37,29,0.9674,0.0,B
2024-02-15,CORK-L3,B878285,3633,0.9661,97,26,42,0.9746,0.00158,B
2024-02-16,CORK-L3,B878285,537,0.9718,12,3,4,0.9726,0.0008,A
2024-02-17,CORK-L3,B878285,350,0.968,8,3,2,0.9749,0.00222,B
2024-02-18,CORK-L3,B878285,350,0.9752,6,3,3,0.9693,0.00047,A
2024-02-19,CORK-L3,B878285,2824,0.9747,52,19,27,0.9716,0.00109,A
2024-02-20,CORK-L3,B878285,3190,0.9704,65,29,35,0.9686,0.00154,B
2024-02-21,CORK-L3,B878285,953,0.9702,19,9,11,0.9626,0.0028,B
2024-02-22,CORK-L3,B878285,5507,0.9739,106,38,42,0.9649,0.00204,A
2024-02-23,CORK-L3,B878285,1884,0.9718,37,16,10,0.9698,0.00093,B
2024-02-24,CORK-L3,B878285,2012,0.9778,26,19,18,0.9815,0.0011,A
2024-02-25,CORK-L3,B878285,2688,0.973,54,18,22,0.973,0.00058,B
2024-02-26,CORK-L3,B878285,2075,0.9767,30,18,10,0.9763,0.00147,A
2024-02-27,CORK-L3,B878285,6849,0.9719,149,44,72,0.9646,0.0019,B
2024-02-13,CORK-L2,B136767,2657,0.9758,42,22,11,0.9774,0.00173,A
2024-02-13,CORK-L1,B136767,2923,0.9714,49,34,26,0.9778,0.00082,A
2024-02-14,CORK-L2,B136767,3332,0.9705,76,22,27,0.9735,0.00273,B
2024-02-14,CORK-L1,B136767,3235,0.9675,83,22,32,0.9666,0.00228,B
2024-02-15,CORK-L2,B136767,3013,0.9708,68,20,32,0.9633,0.00223,B
2024-02-15,CORK-L1,B136767,3308,0.974,56,30,14,0.9778,0.00269,A
2024-02-16,CORK-L2,B136767,1927,0.973,35,17,10,0.9697,0.00067,A
2024-02-16,CORK-L1,B136767,1385,0.969,29,14,7,0.974,0.0032,B
2024-02-17,CORK-L2,B136767,773,0.9757,11,8,8,0.9785,0.0017,A
2024-02-17,CORK-L1,B136767,860,0.9686,18,9,6,0.9753,0.0,B
2024-02-18,CORK-L2,B136767,633,0.9706,15,4,5,0.9689,0.001,B
2024-02-18,CORK-L1,B136767,480,0.973,10,3,3,0.9714,0.00215,A
2024-02-19,CORK-L2,B136767,511,0.9717,11,3,4,0.9712,0.00152,B
2024-02-19,CORK-L1,B136767,567,0.9738,10,5,4,0.9767,0.00269,A
2024-02-20,CORK-L2,B136767,4026,0.9755,78,21,25,0.9768,0.0,A
2024-02-20,CORK-L1,B136767,3605,0.9683,81,33,37,0.9615,0.00146,B
2024-02-21,CORK-L2,B136767,2017,0.9724,35,21,8,0.9729,0.00057,B
2024-02-21,CORK-L1,B136767,2107,0.9729,38,19,17,0.9805,0.00216,A
2024-02-22,CORK-L2,B136767,2432,0.9775,38,17,13,0.9731,0.00191,A
2024-02-22,CORK-L1,B136767,3322,0.9718,68,26,26,0.9738,0.00141,A
2024-02-23,CORK-L2,B136767,2084,0.9756,35,16,11,0.9772,0.00164,A
2024-02-23,CORK-L1,B136767,2670,0.9731,52,20,10,0.9811,0.00106,A
2024-02-24,CORK-L2,B136767,1072,0.9741,16,12,12,0.9804,0.00185,A
2024-02-24,CORK-L1,B136767,1566,0.9682,31,19,16,0.9653,0.00132,B
2024-02-25,CORK-L2,B136767,193,0.9739,4,1,2,0.9826,0.00051,A
2024-02-25,CORK-L1,B136767,187,0.9733,3,2,1,0.9645,0.00148,A
2024-02-14,CORK-L3,B355223,6443,0.9701,131,62,72,0.9729,0.00125,B
2024-02-15,CORK-L3,B355223,4498,0.9761,80,27,23,0.9731,0.00164,A
2024-02-16,CORK-L3,B355223,2336,0.9738,46,15,23,0.9775,0.00154,A
2024-02-17,CORK-L3,B355223,2036,0.9683,42,22,14,0.9707,0.00055,B
2024-02-18,CORK-L3,B355223,2190,0.9711,44,19,19,0.9657,0.00082,A
2024-02-19,CORK-L3,B355223,5978,0.9679,113,79,77,0.9607,0.00203,B
2024-02-20,CORK-L3,B355223,2018,0.9724,41,15,23,0.965,0.00139,A
2024-02-21,CORK-L3,B355223,5524,0.9722,94,59,55,0.9708,0.00162,A
2024-02-22,CORK-L3,B355223,6241,0.9708,122,60,74,0.9755,0.00129,A
2024-02-23,CORK-L3,B355223,2174,0.9674,50,21,12,0.972,0.00061,B
2024-02-22,CORK-L2,B940804,2184,0.9734,39,19,18,0.9807,0.00022,A
2024-02-22,CORK-L1,B940804,3336,0.9723,64,28,25,0.9723,0.00019,A
2024-02-23,CORK-L2,B940804,698,0.9752,13,4,7,0.9794,0.00219,A
2024-02-23,CORK-L1,B940804,687,0.971,13,7,8,0.9791,0.00183,A
2024-02-24,CORK-L2,B940804,341,0.9708,6,4,4,0.9724,0.00205,B
2024-02-24,CORK-L1,B940804,332,0.9676,7,4,3,0.9683,0.00109,B
2024-02-25,CORK-L2,B940804,513,0.9751,9,4,5,0.968,0.00037,A
2024-02-25,CORK-L1,B940804,458,0.9708,9,4,3,0.9675,0.0029,A
2024-02-26,CORK-L2,B940804,1515,0.9759,26,11,7,0.9743,0.00189,A
2024-02-26,CORK-L1,B940804,1504,0.9663,38,13,16,0.9549,0.00155,B
2024-02-27,CORK-L2,B940804,861,0.9709,18,7,7,0.9702,0.00066,B
2024-02-27,CORK-L1,B940804,1068,0.9717,18,12,9,0.97,0.0016,A
2024-02-28,CORK-L2,B940804,882,0.9714,19,6,5,0.9803,0.00351,A
2024-02-28,CORK-L1,B940804,1452,0.968,37,10,11,0.9745,0.00063,B
2024-02-29,CORK-L2,B940804,3678,0.9649,99,30,41,0.9668,0.00019,B
2024-02-29,CORK-L1,B940804,3521,0.9695,72,35,20,0.9761,0.00184,B
2024-02-21,CORK-L3,B351743,5914,0.9715,102,66,28,0.9713,0.0,A
2024-02-22,CORK-L3,B351743,5028,0.9737,104,28,37,0.9724,0.00136,A
2024-02-23,CORK-L3,B351743,3191,0.972,66,23,29,0.9704,0.00336,A
2024-02-24,CORK-L3,B351743,1268,0.9651,31,13,6,0.9688,0.00358,B
2024-02-25,CORK-L3,B351743,1503,0.9689,37,10,16,0.962,0.00166,A
2024-02-26,CORK-L3,B351743,5078,0.9679,114,49,27,0.96,0.00211,B
2024-02-27,CORK-L3,B351743,2542,0.9684,59,21,23,0.9713,0.00105,B
2024-02-28,CORK-L3,B351743,3761,0.969,88,29,45,0.9637,0.00082,B
2024-02-29,CORK-L3,B351743,3291,0.9705,57,40,19,0.968,0.0,B
2024-03-01,CORK-L3,B351743,5023,0.9731,98,37,42,0.9765,0.00181,A
2024-03-02,CORK-L3,B351743,2358,0.9732,48,15,23,0.9669,0.00196,A
2024-03-03,CORK-L3,B351743,2512,0.9736,41,25,22,0.9723,0.00206,A
2024-03-04,CORK-L3,B351743,4485,0.9755,83,27,44,0.962,0.00203,A
2024-03-05,CORK-L3,B351743,5407,0.9692,130,36,53,0.9786,0.0,B
2024-02-22,CORK-L1,B669981,1940,0.9728,34,19,18,0.9685,0.00193,A
2024-02-22,CORK-L2,B669981,2646,0.9655,57,34,13,0.9745,0.00095,B
2024-02-23,CORK-L1,B669981,691,0.9728,15,4,5,0.9702,0.00202,A
2024-02-23,CORK-L2,B669981,545,0.9662,13,5,4,0.9568,0.00224,B
